City,Country,Latitude,Longitude,Distance
Orlando,United States,28.4772,-81.3369,0
Mersin,Turkey,36.8,34.6167,0
Almaty,Kazakhstan,43.25,76.9,0
Barranquilla,Colombia,10.96,-74.8,0
Kyoto,Japan,35.0111,135.7669,0
Manaus,Brazil,-3.1,-60.0167,0
Liaoyang,China,41.2643,123.1772,0
Baiyin,China,36.5448,104.1766,0
San Jose,United States,37.3019,-121.8486,0
Warsaw,Poland,52.2167,21.0333,0
Shengli,China,37.45,118.4667,0
Lubumbashi,Congo (Kinshasa),-11.6697,27.4581,0
Damascus,Syria,33.5131,36.2919,0
Shuyangzha,China,34.1299,118.7734,0
Shangqiu,China,34.4504,115.65,0
Esfahan,Iran,32.6447,51.6675,0
Budapest,Hungary,47.4983,19.0408,0
Heihe,China,50.2458,127.4886,0
Lusaka,Zambia,-15.4167,28.2833,0
Diyarbakir,Turkey,37.9108,40.2367,0
Chinchvad,India,18.6278,73.8131,0
Shuozhou,China,39.3408,112.4292,0
Vitoria,Brazil,-20.324,-40.366,0
Cleveland,United States,41.4767,-81.6804,0
Pittsburgh,United States,40.4396,-79.9762,0
Mecca,Saudi Arabia,21.4225,39.8261,0
Patna,India,25.61,85.1414,0
Mosul,Iraq,36.3667,43.1167,0
Austin,United States,30.3004,-97.7522,0
Sanzhou,China,30.82,108.4,0
Conakry,Guinea,9.5092,-13.7122,0
Kampala,Uganda,0.3136,32.5811,0
Ecatepec,Mexico,19.6097,-99.06,0
Cincinnati,United States,39.1413,-84.5061,0
Makassar,Indonesia,-5.1331,119.4136,0
Yushan,China,31.3867,120.9766,0
Ludhiana,India,30.9083,75.8486,0
Newcastle,United Kingdom,55.0077,-1.6578,0
Depok,Indonesia,-6.394,106.8225,0
Zhongli,Taiwan,24.965,121.2168,0
Kansas City,United States,39.1239,-94.5541,0
Rabat,Morocco,34.0253,-6.8361,0
Ouagadougou,Burkina Faso,12.3572,-1.5353,0
Davao,Philippines,7.0667,125.6,0
Manhattan,United States,40.7834,-73.9662,0
Semarang,Indonesia,-6.9667,110.4167,0
Yinchuan,China,38.4795,106.2254,0
Multan,Pakistan,30.1978,71.4711,0
Caloocan City,Philippines,14.65,120.9667,0
Harare,Zimbabwe,-17.8292,31.0522,0
Novosibirsk,Russia,55.0333,82.9167,0
Chengtangcun,China,35.0833,117.15,0
Agra,India,27.18,78.02,0
Karaj,Iran,35.8327,50.9915,0
Indianapolis,United States,39.7771,-86.1458,0
Jingdezhen,China,29.2942,117.2036,0
Puebla,Mexico,19.0333,-98.1833,0
Kalyan,India,19.2502,73.1602,0
Madurai,India,9.9197,78.1194,0
Gujranwala,Pakistan,32.15,74.1833,0
Benxi,China,41.292,123.761,0
Jamshedpur,India,22.8,86.1833,0
Zhuhai,China,22.2769,113.5678,0
Recife,Brazil,-8.0539,-34.8808,0
Columbus,United States,39.9862,-82.985,0
Tabriz,Iran,38.0833,46.2833,0
Santiago,Dominican Republic,19.5,-70.67,0
Maracaibo,Venezuela,10.6333,-71.6333,0
Beihai,China,21.4667,109.1,0
Shuangyashan,China,46.6388,131.1545,0
Kobe,Japan,34.6913,135.183,0
Charlotte,United States,35.208,-80.8304,0
Yucheng,China,29.9888,103.0007,0
Changshu,China,31.65,120.7333,0
Ximeicun,China,24.9633,118.3811,0
Jianguang,China,28.1958,115.7833,0
Gwangju,"Korea, South",35.1667,126.9167,0
Xushan,China,30.1697,121.2665,0
Guiping,China,23.4,110.0833,0
Nasik,India,20,73.7833,0
Porto Alegre,Brazil,-30.0328,-51.23,0
Zhangjiajie,China,29.1255,110.4844,0
Valencia,Venezuela,10.1667,-68,0
Virginia Beach,United States,36.7335,-76.0435,0
Daejeon,"Korea, South",36.351,127.385,0
Munich,Germany,48.1372,11.5755,0
Yekaterinburg,Russia,56.8356,60.6128,0
Auckland,New Zealand,-36.85,174.7833,0
Yunfu,China,22.9242,112.0353,0
Huangshan,China,29.7132,118.3151,0
Huazhou,China,32.6832,112.079,0
Shiraz,Iran,29.61,52.5425,0
Leon de los Aldama,Mexico,21.1167,-101.6833,0
Pizhou,China,34.3422,118.0097,0
Palembang,Indonesia,-2.9833,104.7644,0
Kharkiv,Ukraine,50,36.2292,0
Kawanakajima,Japan,35.53,139.705,0
Lianjiang,China,21.6146,110.2794,0
Chizhou,China,30.6583,117.4849,0
Leizhou,China,20.9147,110.0806,0
Guyuan,China,36.008,106.2782,0
Rui'an,China,27.778,120.6526,0
Birstall,United Kingdom,52.6736,-1.12,0
Muscat,Oman,23.6139,58.5922,0
Hebi,China,35.7497,114.2887,0
Jingling,China,30.6667,113.1667,0
