City,Country,Latitude,Longitude,Distance
Quzhou,China,28.9545,118.8763,4033.6896391195532
Baku,Azerbaijan,40.3667,49.8352,2659.5884302240797
Gaoping,China,30.7804,106.13,2788.8526267931525
Huaibei,China,33.9562,116.789,3745.691772800421
Xining,China,36.6239,101.7787,2391.002292389572
Yan'an,China,36.5952,109.4863,3075.0636395752827
Havana,Cuba,23.1367,-82.3589,13634.737631679545
Phnom Penh,Cambodia,11.5696,104.921,3583.6941599198703
Fukuoka,Japan,33.5903,130.4019,4995.042445163162
Mogadishu,Somalia,2.0408,45.3425,4596.681911268306
Jincheng,China,35.4906,112.8483,3375.796184713526
Lishui,China,28.45,119.9167,4145.628168162854
Qingyang,China,24.8141,118.5792,4132.736516243847
Riverside,United States,33.9381,-117.3948,12676.417128404093
Baltimore,United States,39.3051,-76.6144,11765.034257973592
Haiphong,Vietnam,20.8,106.6667,3168.2587043471176
Las Vegas,United States,36.2333,-115.2654,12468.478974734204
Laibin,China,23.7333,109.2333,3280.1726968744483
Rawalpindi,Pakistan,33.6007,73.0679,483.5843565745074
Kumasi,Ghana,6.6833,-1.6167,8529.905565613773
Portland,United States,45.5372,-122.65,11314.702459410115
Vadodara,India,22.3,73.2,1000.1352172959375
Perth,Australia,-31.9522,115.8589,8085.04102220701
Puning,China,23.2993,116.1586,3957.9085532562754
San Antonio,United States,29.4658,-98.5253,13310.240295819001
Haikou,China,20.02,110.32,3548.0214012515066
Vishakhapatnam,India,17.7333,83.3167,1579.7655092118764
Gaziantep,Turkey,37.0667,37.3833,3687.1178047788503
Minsk,Belarus,53.9022,27.5618,4675.374507910901
St. Louis,United States,38.6358,-90.2451,12193.471408118925
Bamako,Mali,12.6458,-7.9922,8810.256929123523
Quito,Ecuador,-0.2186,-78.5097,15746.81403642827
Pingxiang,China,27.6333,113.85,3591.0828904177083
Chongzuo,China,22.4167,107.3667,3158.233332586421
Sanliurfa,Turkey,37.1583,38.7917,3562.1881180727246
Kananga,Congo (Kinshasa),-5.897,22.4488,7067.025727210633
Peshawar,Pakistan,34,71.5,625.2451303321089
Sapporo,Japan,43.0621,141.3544,5755.123951045291
Jixi,China,45.2937,130.965,4910.412159789105
Caracas,Venezuela,10.5,-66.9333,14024.160733497449
Fuxin,China,42.0127,121.6486,4152.0556391232685
Leeds,United Kingdom,53.7997,-1.5492,6570.8179611547275
Sacramento,United States,38.5667,-121.4683,12084.862562113614
Blantyre,Malawi,-15.7861,35.0058,6835.583415613023
Tainan,Taiwan,22.9833,120.1833,4355.157352590425
Bucharest,Romania,44.4,26.0833,4648.327037981271
